covered_entity_name,state,covered_entity_type,breach_type,location_of_breached_info,individuals_affected,breach_submission_date,business_associate_present,outreach_priority
Regional Obstetrical Consultants PC,TN,Healthcare Provider,Hacking/IT Incident,Network Server,25650,07/02/2024,No,HIGH
"Huron Regional Medical Center, Inc.",SD,Healthcare Provider,Hacking/IT Incident,Network Server,25398,06/06/2025,No,HIGH
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,,Healthcare Provider,Hacking/IT Incident,Network Server,24236,03/26/2026,No,HIGH
"PGA Development, Inc.",PA,Healthcare Provider,Hacking/IT Incident,Network Server,23899,09/10/2025,No,HIGH
Esse Health,MO,Healthcare Provider,Hacking/IT Incident,Network Server,23671,06/20/2025,No,HIGH
Dr. Michael Bilikas and Associates d.b.a. 32 Pearls,WA,Healthcare Provider,Hacking/IT Incident,Network Server,23517,07/21/2025,No,HIGH
"Compassion Health Care, Inc.",NC,Healthcare Provider,Hacking/IT Incident,Network Server,23282,05/16/2025,No,HIGH
"Hawaii Radiologic Associates, Ltd.",HI,Healthcare Provider,Hacking/IT Incident,Network Server,23205,10/25/2024,No,HIGH
"Cedar Point Health, LLC",CO,Healthcare Provider,Hacking/IT Incident,Network Server,23114,02/12/2026,No,HIGH
"Tri-City Cardiology Consultants, P.C.",AZ,Healthcare Provider,Hacking/IT Incident,Network Server,22753,05/08/2025,No,HIGH
MDLand International Corporation,NY,Business Associate,Hacking/IT Incident,Network Server,22586,08/04/2025,Yes,HIGH
Orthopaedic Specialists of Connecticut,CT,Healthcare Provider,Hacking/IT Incident,Network Server,22541,04/23/2025,No,HIGH
"Drug and Alcohol Treatment Services, Inc.",PA,Healthcare Provider,Hacking/IT Incident,Network Server,22215,04/24/2025,No,HIGH
MedPeds Associates of Sarasota,FL,Healthcare Provider,Hacking/IT Incident,Network Server,22017,03/13/2026,No,HIGH
Southwest C.A.R.E. Center,NM,Healthcare Provider,Hacking/IT Incident,Network Server,21866,10/03/2025,No,HIGH
Northwestern Community Services Board,VA,Healthcare Provider,Hacking/IT Incident,Network Server,21856,05/29/2025,No,HIGH
NAHGA Claim Services,ME,Health Plan,Hacking/IT Incident,Network Server,21834,11/19/2025,No,HIGH
Lake Washington Vascular,WA,Healthcare Provider,Hacking/IT Incident,Network Server,21534,02/25/2025,No,HIGH
Community Hospital of Anaconda,MT,Healthcare Provider,Hacking/IT Incident,Network Server,21243,05/19/2025,No,HIGH
Bridle Trails Family Dentistry,WA,Healthcare Provider,Hacking/IT Incident,Email,20976,05/14/2026,No,HIGH
"Fieldtex Products, Inc.",NY,Business Associate,Hacking/IT Incident,Network Server,20641,12/03/2025,Yes,HIGH
Liberty Bankers Life Ins. Co.,TX,Health Plan,Hacking/IT Incident,Network Server,20202,04/22/2026,Yes,HIGH
WIRX Pharmacy,PA,Healthcare Provider,Hacking/IT Incident,Network Server,20047,02/05/2026,No,HIGH
Gandara Mental Health Center,MA,Healthcare Provider,Hacking/IT Incident,Network Server,20024,10/24/2024,No,HIGH
"Keys Pathology Associates, PA",FL,Healthcare Provider,Hacking/IT Incident,Network Server,20000,07/19/2025,Yes,HIGH
"East Central Missouri Behavioral Health Services, Inc.",MO,Healthcare Provider,Hacking/IT Incident,Network Server,20000,11/21/2024,No,HIGH
Wendy Foster OD,KS,Healthcare Provider,Hacking/IT Incident,Network Server,20000,02/09/2026,No,HIGH
Barrio Comprehensive Family Health Care Center,TX,Healthcare Provider,Hacking/IT Incident,Email,19971,03/06/2026,No,HIGH
Texas Center for Infectious Disease Associates,TX,Healthcare Provider,Hacking/IT Incident,Network Server,19481,06/30/2025,No,HIGH
"Northwest Denture Center, Inc.",WA,Healthcare Provider,Hacking/IT Incident,Network Server,19419,07/25/2025,No,HIGH
Beech Acres Parenting Center,OH,Healthcare Provider,Hacking/IT Incident,Network Server,19315,08/22/2025,No,HIGH
Teamsters Union 25 Health Services & Insurance Plan,MA,Health Plan,Hacking/IT Incident,Network Server,19231,09/03/2025,No,HIGH
"Somnia, Inc.",NY,Business Associate,Hacking/IT Incident,Email,19069,02/14/2025,Yes,HIGH
"Los Angeles County Developmental Services Fdn., Inc. dba Frank D. Lanterman Regional Ctr.",CA,Healthcare Provider,Hacking/IT Incident,Email,19000,06/20/2025,No,HIGH
Community Connections,DC,Healthcare Provider,Hacking/IT Incident,Network Server,18949,12/11/2024,No,HIGH
Community Connections,DC,Healthcare Provider,Hacking/IT Incident,Network Server,18943,05/18/2026,No,HIGH
UNITED BACKCARE PS dba Pacific Rehabilitation Centers,WA,Healthcare Provider,Hacking/IT Incident,Network Server,18900,02/11/2025,No,HIGH
Space Coast Vascular,FL,Healthcare Provider,Hacking/IT Incident,Network Server,18819,10/06/2025,No,HIGH
"Pinnacle Holdings, LTD",PA,Business Associate,Hacking/IT Incident,Network Server,18313,01/13/2026,Yes,HIGH
"Neurobehavioral Medicine Consultants, P.C.",OH,Healthcare Provider,Hacking/IT Incident,Network Server,18182,06/14/2024,No,HIGH
"Loving and Living Center, PC dba Awakenings Center",NC,Healthcare Provider,Hacking/IT Incident,Electronic Medical Record,17800,11/07/2025,No,HIGH
"MedRevenu, LLC",CA,Business Associate,Hacking/IT Incident,Network Server,17775,03/21/2025,Yes,HIGH
Doctors’ Memorial Hospital,FL,Healthcare Provider,Hacking/IT Incident,Network Server,17718,07/25/2025,Yes,HIGH
California Cancer Associates for Research and Excellence – High Desert,CA,Healthcare Provider,Hacking/IT Incident,Email,17250,06/27/2025,Yes,HIGH
"Primary Health Services Center, Inc.",LA,Healthcare Provider,Hacking/IT Incident,Network Server,17202,02/02/2025,No,HIGH
"Arbor Associates, Inc.",MI,Business Associate,Hacking/IT Incident,Network Server,17040,07/03/2025,Yes,HIGH
"Mid Florida Primary Care, PA",FL,Healthcare Provider,Hacking/IT Incident,Network Server,16435,03/21/2025,No,HIGH
"Excellent Home Care Services, LLC",NY,Healthcare Provider,Hacking/IT Incident,Email,16278,12/17/2025,No,HIGH
Clement Manor,WI,Healthcare Provider,Hacking/IT Incident,Network Server,16046,06/25/2025,No,HIGH
"The Lash Group, LLC",PA,Business Associate,Hacking/IT Incident,Network Server,15196,06/21/2024,Yes,HIGH
"Lake City Cancer Care, LLC",FL,Healthcare Provider,Hacking/IT Incident,Email,15142,06/27/2025,Yes,HIGH
Cahaba Center for Mental Health,AL,Healthcare Provider,Hacking/IT Incident,Email,15085,05/27/2025,No,HIGH
Longevity Health Plan,FL,Health Plan,Hacking/IT Incident,Network Server,15000,03/04/2026,Yes,HIGH
Manhattan Retirement Foundation d/b/a Meadowlark Hills,KS,Healthcare Provider,Hacking/IT Incident,Network Server,14442,02/26/2026,No,HIGH
"Westminster Village Greenwood, Inc.",IN,Healthcare Provider,Hacking/IT Incident,Network Server,14386,08/04/2025,No,HIGH
Millcreek Pediatrics,DE,Healthcare Provider,Hacking/IT Incident,Network Server,14095,11/21/2025,No,HIGH
Hamilton County Government,TN,Healthcare Provider,Hacking/IT Incident,Network Server,14081,04/03/2025,Yes,HIGH
Parc Provence Memory Care Facility,MO,Healthcare Provider,Hacking/IT Incident,Network Server,13954,04/11/2025,No,HIGH
Oliver Street Dermatology Management LLC,TX,Business Associate,Hacking/IT Incident,Network Server,13717,05/30/2025,Yes,HIGH
"James J. Lynch, MD Ltd. dba Swift Institute",NV,Healthcare Provider,Hacking/IT Incident,Network Server,13430,03/25/2025,No,HIGH
Teton Orthopaedics,PA,Healthcare Provider,Hacking/IT Incident,Network Server,13409,12/16/2024,No,HIGH
North Shore University Hospital Sleep Disorders Center,NY,Healthcare Provider,Unauthorized Access/Disclosure,Other,13332,05/23/2025,No,HIGH
"Health & Palliative Services of the Treasure Coast, Inc d/b/a Treasure Coast Hospice  (“Treasure Health ”)",FL,Healthcare Provider,Unauthorized Access/Disclosure,Email,13230,09/19/2025,No,HIGH
"Pacific Imaging Management, LLC",CA,Healthcare Provider,Hacking/IT Incident,Email,13158,08/25/2025,No,HIGH
People Encouraging People,MD,Healthcare Provider,Hacking/IT Incident,Network Server,13083,09/19/2025,No,HIGH
"PracticeSuite, Inc.",FL,Business Associate,Hacking/IT Incident,Network Server,13000,12/17/2024,Yes,HIGH
"Radiation Oncology Network of Southern California, LLC",CA,Healthcare Provider,Hacking/IT Incident,Email,12944,06/27/2025,Yes,HIGH
Greenbaum Rowe Smith & Davis LLP,NJ,Business Associate,Hacking/IT Incident,Network Server,12801,05/18/2026,Yes,HIGH
Mental Health Association Inc.,MA,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,12633,01/31/2025,No,HIGH
Family Christian Health Center,IL,Healthcare Provider,Hacking/IT Incident,Network Server,12500,04/30/2025,No,HIGH
"Family Centers, Inc.",CT,Healthcare Provider,Hacking/IT Incident,Network Server,12142,03/31/2025,No,HIGH
Next Step Healthcare LLC,MA,Healthcare Provider,Hacking/IT Incident,Network Server,12090,05/30/2025,No,HIGH
Blue Cross and Blue Shield of Texas,IL,Health Plan,Unauthorized Access/Disclosure,Other,12086,04/13/2025,No,HIGH
"Wellpoint Washington, Inc.",IN,Health Plan,Hacking/IT Incident,Email,12020,05/20/2026,Yes,HIGH
Susan B. Allen Memorial Hospital,KS,Healthcare Provider,Hacking/IT Incident,"Desktop Computer, Network Server",11866,09/25/2025,No,HIGH
Defense Health Agency (TriWest),VA,Health Plan,Hacking/IT Incident,Network Server,11848,05/21/2026,Yes,HIGH
IKRON Corporation,OH,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",11845,05/04/2026,No,HIGH
Central Ozarks Medical Center,MO,Healthcare Provider,Hacking/IT Incident,Network Server,11818,01/09/2026,No,HIGH
"Couve Healthcare Consulting, LLC DBA Evergreen Healthcare Group",WA,Business Associate,Hacking/IT Incident,Electronic Medical Record,11795,02/24/2026,Yes,HIGH
St. Marys NDS LLC,AZ,Business Associate,Hacking/IT Incident,Network Server,11715,02/06/2025,Yes,HIGH
Wilmington Community Clinic,CA,Healthcare Provider,Hacking/IT Incident,Network Server,11601,10/11/2024,No,HIGH
"City of St. Joseph, MO Health Department",MO,Healthcare Provider,Hacking/IT Incident,Network Server,11538,09/22/2025,No,HIGH
360 Dental PC,PA,Healthcare Provider,Hacking/IT Incident,Network Server,11273,01/15/2026,No,HIGH
"Mission City Community Network, Inc.",CA,Healthcare Provider,Hacking/IT Incident,Network Server,11016,08/09/2025,No,HIGH
Triad Radiology Associates,NC,Healthcare Provider,Hacking/IT Incident,Email,11011,02/06/2026,No,HIGH
Personic Management Company LLC,VA,Business Associate,Hacking/IT Incident,Network Server,10929,11/19/2025,Yes,HIGH
"CEI Vision Partners, LLC",MO,Business Associate,Hacking/IT Incident,Network Server,10841,02/28/2025,Yes,HIGH
Premier Health Partners and wholly owned covered entities listed in description section below,OH,Healthcare Provider,Hacking/IT Incident,Network Server,10833,10/12/2023,No,HIGH
"U.S. HEALTHWORKS-SMMPP, L.C.",AZ,Business Associate,Hacking/IT Incident,Network Server,10673,02/06/2025,Yes,HIGH
Cedar Valley Hospice,IA,Healthcare Provider,Hacking/IT Incident,Network Server,10666,03/06/2026,No,HIGH
Imperial Beach Community Clinic,CA,Healthcare Provider,Hacking/IT Incident,Network Server,10358,06/12/2025,No,HIGH
"Surgery Center of Oak Ridge, LLC dba Advanced Family Surgery Center",TN,Healthcare Provider,Hacking/IT Incident,Network Server,10320,01/23/2026,No,HIGH
Missouri Department of Conservation,MO,Health Plan,Hacking/IT Incident,Network Server,10260,05/30/2025,No,HIGH
Bayside Dental,WA,Healthcare Provider,Hacking/IT Incident,Network Server,10216,04/17/2026,No,HIGH
"Florida Lung, Asthma & Sleep Specialists (FLASS)",FL,Healthcare Provider,Hacking/IT Incident,Network Server,10000,07/09/2025,No,MEDIUM
Good Samaritan Health Center,GA,Healthcare Provider,Hacking/IT Incident,Network Server,10000,03/16/2026,No,MEDIUM
"Nice Healthcare Management Company, Inc",MN,Healthcare Provider,Hacking/IT Incident,Network Server,10000,03/10/2025,Yes,MEDIUM
"Lake City Cancer Care, LLC",FL,Healthcare Provider,Hacking/IT Incident,Network Server,9980,08/15/2025,Yes,MEDIUM
"Georgia Kidney Associates, Inc.",GA,Healthcare Provider,Theft,Other,9940,06/28/2024,No,MEDIUM
"Michael R. Schwartz, MD Inc.",CA,Healthcare Provider,Hacking/IT Incident,Desktop Computer,9809,10/23/2025,No,MEDIUM
College Hometown Pharmacy,NY,Healthcare Provider,Hacking/IT Incident,Network Server,9742,08/25/2025,No,MEDIUM
"CODAC Inc dba CODAC Behavioral Health and CODAC Healthcare, LLC",RI,Healthcare Provider,Hacking/IT Incident,Network Server,9592,08/27/2024,No,MEDIUM
Physicians to Children & Adolescents,KY,Healthcare Provider,Hacking/IT Incident,Network Server,9536,10/24/2025,No,MEDIUM
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,Hacking/IT Incident,Network Server,9526,01/30/2026,Yes,MEDIUM
The Center for Advanced Eye Care,ME,Healthcare Provider,Hacking/IT Incident,"Network Server, Other",9300,02/20/2026,No,MEDIUM
"TheraCom, L.L.C.",PA,Healthcare Provider,Hacking/IT Incident,Network Server,9271,10/08/2024,No,MEDIUM
"Fieldtex Products, Inc.",NY,Business Associate,Hacking/IT Incident,Network Server,9206,12/03/2025,Yes,MEDIUM
WindRose Health Network,IN,Healthcare Provider,Hacking/IT Incident,Network Server,9087,01/27/2026,No,MEDIUM
Waterford Surgical Center,MI,Healthcare Provider,Hacking/IT Incident,Network Server,9000,03/30/2026,No,MEDIUM
Tieu Dental Corporation,CA,Healthcare Provider,Hacking/IT Incident,Network Server,8918,03/05/2026,No,MEDIUM
"Picis Clinical Solutions, Inc. d/b/a Medstreaming",MA,Business Associate,Hacking/IT Incident,Network Server,8840,07/11/2025,Yes,MEDIUM
Verber Dental Group PC,NY,Healthcare Provider,Hacking/IT Incident,Network Server,8598,05/08/2026,No,MEDIUM
Bigfork Valley Hospital,MN,Healthcare Provider,Hacking/IT Incident,Email,8496,03/25/2025,No,MEDIUM
"East Hawaii Rehab, Inc. DBA Lehua Physical Therapy and Rehab",HI,Healthcare Provider,Theft,"Other, Other Portable Electronic Device, Paper/Films",8472,02/28/2025,No,MEDIUM
Trusteed Plan Services Corporation,WA,Business Associate,Hacking/IT Incident,Network Server,7977,09/17/2025,Yes,MEDIUM
Covenant Health,MA,Business Associate,Hacking/IT Incident,Network Server,7864,07/11/2025,Yes,MEDIUM
"CareNexa, LLC, doing business as Molecular Testing Labs",WA,Healthcare Provider,Hacking/IT Incident,Network Server,7711,05/15/2025,Yes,MEDIUM
LifeSpring Home Care,OK,Healthcare Provider,Hacking/IT Incident,"Network Server, Other",7509,04/06/2026,Yes,MEDIUM
"Southern Immediate Care, LLC",AL,Healthcare Provider,Hacking/IT Incident,Email,7447,01/15/2026,No,MEDIUM
"Liberty Solutions, Inc.",NY,Business Associate,Unauthorized Access/Disclosure,Network Server,7329,05/15/2026,Yes,MEDIUM
"CardioFit Medical Group, Inc.",CA,Healthcare Provider,Unauthorized Access/Disclosure,Email,7243,04/09/2026,No,MEDIUM
Southwest Urology,OH,Healthcare Provider,Hacking/IT Incident,Email,7214,06/27/2025,Yes,MEDIUM
"ASC Ortho Management Company, LLC  d/b/a Aligned Orthopedic Partners",MD,Healthcare Provider,Hacking/IT Incident,Email,7213,04/17/2026,No,MEDIUM
ASPEN HEALTHCARE SERVICES INC,TX,Healthcare Provider,Hacking/IT Incident,Electronic Medical Record,7195,11/15/2024,No,MEDIUM
"Southern Bone & Joint Specialists, PA (“Southern Bone”)",MS,Healthcare Provider,Hacking/IT Incident,Email,7162,09/17/2024,No,MEDIUM
Presbyterian Health Plan,NM,Health Plan,Hacking/IT Incident,Email,7100,03/18/2025,No,MEDIUM
Florence County Commission on Alcohol & Drug Abuse – dba Circle Park Behavioral Health Services (“Circle Park”),SC,Healthcare Provider,Hacking/IT Incident,Email,7020,01/14/2026,No,MEDIUM
Stafford Oral Surgery P.C.,VA,Healthcare Provider,Hacking/IT Incident,Email,7019,05/15/2026,Yes,MEDIUM
South Coast Pediatrics,CA,Healthcare Provider,Hacking/IT Incident,Network Server,7000,08/05/2025,No,MEDIUM
CareOregon,OR,Health Plan,Unauthorized Access/Disclosure,Network Server,6988,12/26/2025,No,MEDIUM
Blue Cross and Blue Shield of Illinois,IL,Health Plan,Unauthorized Access/Disclosure,Other,6903,04/13/2025,No,MEDIUM
"Calibrated Healthcare, LLC",CA,Business Associate,Hacking/IT Incident,Network Server,6890,08/02/2024,Yes,MEDIUM
Centric Health,CA,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",6855,12/10/2025,Yes,MEDIUM
"Standards Home Health, Inc.",TX,Healthcare Provider,Hacking/IT Incident,Email,6847,12/31/2025,No,MEDIUM
Saint Anthony Hospital,IL,Healthcare Provider,Hacking/IT Incident,Email,6679,09/12/2025,No,MEDIUM
"River City Eye Care, LLC",OR,Healthcare Provider,Hacking/IT Incident,Network Server,6588,10/16/2025,No,MEDIUM
Administrators of the Tulane Educational Fund d/b/a Tulane University Medical Group,LA,Healthcare Provider,Hacking/IT Incident,Email,6556,01/15/2026,No,MEDIUM
"Legacy Health, LLC",TX,Business Associate,Unauthorized Access/Disclosure,Electronic Medical Record,6547,10/23/2025,Yes,MEDIUM
"ViaQuest Psychiatric & Behavioral Solutions, LLC",OH,Healthcare Provider,Hacking/IT Incident,Network Server,6420,05/08/2026,No,MEDIUM
Tampa Bay Dental Implants & Periodontics,FL,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",6400,03/08/2026,No,MEDIUM
"Marrs Ear, Nose & Throat, PA",FL,Healthcare Provider,Unauthorized Access/Disclosure,Email,6376,11/18/2025,No,MEDIUM
North Oaks Health System,LA,Healthcare Provider,Hacking/IT Incident,Email,6243,09/02/2025,No,MEDIUM
"Nova Recovery Center, LLC d/b/a Nova Recovery Center",TX,Healthcare Provider,Hacking/IT Incident,Network Server,6242,07/24/2025,No,MEDIUM
"Sports Physical Therapy, Occupational Therapy and Rehabilitation Services of the North Shore, P.L.L.C",NY,Healthcare Provider,Unauthorized Access/Disclosure,Other,6195,05/23/2025,No,MEDIUM
Coastal Skin Surgery & Dermatology,FL,Healthcare Provider,Hacking/IT Incident,Network Server,6173,03/17/2026,Yes,MEDIUM
"Madison County, MS",MS,Health Plan,Hacking/IT Incident,Email,6082,03/05/2025,No,MEDIUM
The Center at Cordera,CO,Healthcare Provider,Hacking/IT Incident,Network Server,6057,07/29/2025,No,MEDIUM
Trinity Health,MI,Business Associate,Unauthorized Access/Disclosure,Email,5905,05/13/2026,Yes,MEDIUM
"Fieldtex Products, Inc.",NY,Business Associate,Hacking/IT Incident,Network Server,5901,12/03/2025,Yes,MEDIUM
Aldrich Pediatric Dentistry,IN,Healthcare Provider,Hacking/IT Incident,Email,5900,04/24/2026,No,MEDIUM
Springfield Hospital,VT,Healthcare Provider,Hacking/IT Incident,Email,5892,04/10/2026,No,MEDIUM
Pivot Health,FL,Business Associate,Hacking/IT Incident,Network Server,5864,05/13/2026,Yes,MEDIUM
Complete Eye Care dba Orem Eye Clinic,UT,Healthcare Provider,Hacking/IT Incident,"Network Server, Other",5800,03/19/2026,No,MEDIUM
MedicareCompareUSA,WA,Business Associate,Hacking/IT Incident,Email,5782,03/21/2025,Yes,MEDIUM
College Parkside Pharmacy,NY,Healthcare Provider,Hacking/IT Incident,Network Server,5736,08/25/2025,No,MEDIUM
NYC Health + Hospitals,NY,Healthcare Provider,Hacking/IT Incident,Network Server,5728,06/06/2025,Yes,MEDIUM
Allied Services Division Welfare Fund,IL,Health Plan,Hacking/IT Incident,Email,5727,05/07/2025,No,MEDIUM
J. Arthur Trudeau Memorial Center,RI,Healthcare Provider,Hacking/IT Incident,Network Server,5630,03/30/2026,No,MEDIUM
"Assisted Living Pharmacy Service, LLC",WI,Healthcare Provider,Hacking/IT Incident,Network Server,5590,08/25/2025,No,MEDIUM
"Compass Counseling Services, LLC",FL,Healthcare Provider,Hacking/IT Incident,Network Server,5440,07/29/2025,No,MEDIUM
The Brien Center for Mental Health and Substance Abuse Services,MA,Healthcare Provider,Hacking/IT Incident,Network Server,5427,07/18/2025,No,MEDIUM
Manchester Rehabilitation and Healthcare Center,CT,Healthcare Provider,Hacking/IT Incident,Network Server,5415,03/03/2025,No,MEDIUM
illumifin Corporation,MN,Business Associate,Hacking/IT Incident,Network Server,5385,03/10/2026,Yes,MEDIUM
Northwoods Surgery Center,MN,Healthcare Provider,Hacking/IT Incident,Network Server,5385,04/29/2026,No,MEDIUM
Harris County Hospital District d/b/a Harris Health,TX,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,5357,10/03/2025,No,MEDIUM
Adams County Memorial Hospital,IN,Healthcare Provider,Hacking/IT Incident,Email,5305,05/11/2026,No,MEDIUM
"Mays Housecall Home Health, Inc.",TX,Healthcare Provider,Hacking/IT Incident,"Network Server, Other",5208,03/21/2026,Yes,MEDIUM
Nura PLLC,MN,Healthcare Provider,Hacking/IT Incident,Email,5207,11/21/2025,No,MEDIUM
"Cumberland Heights Foundation, Inc.",TN,Healthcare Provider,Hacking/IT Incident,Email,5078,04/19/2024,No,MEDIUM
County of Murray dba Murray County Medical Center,MN,Healthcare Provider,Hacking/IT Incident,Email,5073,03/06/2026,No,MEDIUM
Vail Summit Orthopaedics,CO,Healthcare Provider,Hacking/IT Incident,Email,5044,07/31/2025,No,MEDIUM
Upper Dublin Family Dentistry,PA,Healthcare Provider,Hacking/IT Incident,Network Server,5000,05/30/2025,No,MEDIUM
"Express Canna Cards, LLC",FL,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,5000,10/20/2025,No,MEDIUM
"Mohawk Valley Cardiology, P.C.",NY,Healthcare Provider,Unauthorized Access/Disclosure,Other,4973,11/04/2024,No,MEDIUM
"Maximus, Inc.",VA,Business Associate,Unauthorized Access/Disclosure,Network Server,4955,04/25/2025,Yes,MEDIUM
"Jordan Drug, Inc.",KY,Healthcare Provider,Hacking/IT Incident,Network Server,4947,06/26/2025,No,MEDIUM
Access2Day Health,LA,Business Associate,Hacking/IT Incident,Email,4908,05/23/2025,Yes,MEDIUM
"Monongalia Health System, Inc.",WV,Healthcare Provider,Unauthorized Access/Disclosure,Email,4895,05/03/2025,No,MEDIUM
AgeRight Clinical Services,OR,Healthcare Provider,Hacking/IT Incident,Network Server,4859,12/05/2025,No,MEDIUM
Freedom Plaza Senior Living,FL,Healthcare Provider,Hacking/IT Incident,Email,4847,07/11/2025,No,MEDIUM
PET Imaging of Northern Colorado,CO,Healthcare Provider,Hacking/IT Incident,Email,4824,06/27/2025,Yes,MEDIUM
Reimagine Network,CA,Healthcare Provider,Hacking/IT Incident,Network Server,4799,08/29/2025,No,MEDIUM
Complete Care Rehab LLC,MI,Healthcare Provider,Hacking/IT Incident,Network Server,4764,07/08/2025,No,MEDIUM
Millennium Home Health Care,OK,Healthcare Provider,Hacking/IT Incident,Network Server,4743,03/19/2025,No,MEDIUM
"FullBeauty Brands, Inc. Associate Benefits Plan",NY,Health Plan,Hacking/IT Incident,Network Server,4725,01/13/2026,No,MEDIUM
"David A. Nover, M.D., P.C.",PA,Healthcare Provider,Hacking/IT Incident,Network Server,4703,07/31/2025,No,MEDIUM
"Greater Meridian Health Clinic, Inc.",MS,Healthcare Provider,Hacking/IT Incident,Network Server,4651,11/24/2025,No,MEDIUM
"Nephrology Associates Medical Group, Inc",CA,Healthcare Provider,Hacking/IT Incident,Email,4631,02/27/2026,No,MEDIUM
"Central States Dermatology Services, LLC",IL,Healthcare Provider,Hacking/IT Incident,Network Server,4626,01/26/2026,No,MEDIUM
VPS Medical PLLC,PA,Healthcare Provider,Hacking/IT Incident,Network Server,4600,02/13/2026,No,MEDIUM
Polaris Endeavors,FL,Healthcare Provider,Hacking/IT Incident,Network Server,4552,12/24/2024,No,MEDIUM
AltaMed Health Services Corporation,CA,Healthcare Provider,Unauthorized Access/Disclosure,Email,4530,06/13/2025,No,MEDIUM
Ochsner LSU Health – Regional Urology,LA,Healthcare Provider,Hacking/IT Incident,Network Server,4519,12/09/2025,No,MEDIUM
Fairbanks Urology,AK,Healthcare Provider,Hacking/IT Incident,Email,4289,06/27/2025,Yes,MEDIUM
Zelis Healthcare LLC,MA,Business Associate,Unauthorized Access/Disclosure,Paper/Films,4289,08/12/2025,Yes,MEDIUM
Archer Health,CA,Healthcare Provider,Hacking/IT Incident,Network Server,4285,11/06/2025,No,MEDIUM
Austin Plastic and Reconstructive Surgery,TX,Healthcare Provider,Hacking/IT Incident,Network Server,4266,03/30/2026,No,MEDIUM
Health Management Systems of America,MI,Healthcare Provider,Hacking/IT Incident,Email,4213,10/27/2025,No,MEDIUM
Integrated Oncology Network,TN,Business Associate,Hacking/IT Incident,Email,4174,06/27/2025,Yes,MEDIUM
"Mercy Surgical Dressing Group, Inc.",PA,Business Associate,Hacking/IT Incident,Network Server,4159,05/16/2025,Yes,MEDIUM
Sutton Dental Arts,OR,Healthcare Provider,Hacking/IT Incident,Network Server,4109,07/22/2024,No,MEDIUM
NCH Corporation Employee Benefits Plan,TX,Health Plan,Hacking/IT Incident,Network Server,4055,05/01/2026,No,MEDIUM
"Docs Medical Group, Inc. dba Pulse Urgent Care",CA,Healthcare Provider,Hacking/IT Incident,Network Server,4035,12/28/2025,No,MEDIUM
Precision Endodontics of Raleigh,NC,Healthcare Provider,Hacking/IT Incident,Email,4022,08/05/2025,No,MEDIUM
Inlet Health dba Communicare,KY,Healthcare Provider,Hacking/IT Incident,Network Server,3771,01/22/2025,No,MEDIUM
"The Center for Neuropsychology and Learning, PC",MI,Healthcare Provider,Hacking/IT Incident,Network Server,3722,01/09/2026,No,MEDIUM
Tampa Bay Treatment Associates,FL,Healthcare Provider,Theft,Electronic Medical Record,3682,11/05/2025,No,MEDIUM
Stewart Home & School,KY,Healthcare Provider,Hacking/IT Incident,"Email, Network Server",3677,04/23/2026,No,MEDIUM
"Bloom Circle, Inc. d/b/a Lena Health",TX,Business Associate,Hacking/IT Incident,Network Server,3651,03/13/2026,Yes,MEDIUM
"Retina Associates of Cleveland, Inc.",OH,Healthcare Provider,Hacking/IT Incident,Email,3604,06/20/2025,No,MEDIUM
Dr. Doug's Pediatric Dentistry,UT,Healthcare Provider,Hacking/IT Incident,Email,3590,08/11/2025,No,MEDIUM
Twin Cities Pain Clinic,MN,Healthcare Provider,Hacking/IT Incident,Email,3572,09/04/2025,No,MEDIUM
"Carrollton Ear, Nose and Throat, PC",GA,Healthcare Provider,Hacking/IT Incident,Network Server,3569,08/29/2025,No,MEDIUM
"Physician Wound Solutions, LLC dba Apollo Medical Supply",FL,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,3561,04/29/2025,Yes,MEDIUM
Lena Pope Home Inc.,TX,Healthcare Provider,Hacking/IT Incident,Email,3523,03/17/2025,No,MEDIUM
Fairfax Radiological Consultants,VA,Healthcare Provider,Hacking/IT Incident,Network Server,3512,07/12/2024,No,MEDIUM
Carlton County Public Health and Human Services,MN,Healthcare Provider,Hacking/IT Incident,Email,3502,04/25/2025,No,MEDIUM
Freedom Square of Seminole,FL,Healthcare Provider,Hacking/IT Incident,Email,3473,07/11/2025,No,MEDIUM
Totem Lake Family Dentistry,WA,Healthcare Provider,Hacking/IT Incident,Email,3464,04/30/2026,No,MEDIUM
Dr. Michael Kaplan DO PC DBA Long Island Weight Loss Institute,NY,Healthcare Provider,Hacking/IT Incident,Network Server,3426,11/20/2025,No,MEDIUM
Detroit Wayne Integrated Health Network,MI,Healthcare Provider,Hacking/IT Incident,Laptop,3347,10/18/2024,No,MEDIUM
"Center for Disability Services, Inc.",NY,Healthcare Provider,Hacking/IT Incident,Email,3343,08/08/2025,No,MEDIUM
